Cruise,Event,Net,Gear,Start,End,Station,Reference,Stratified,D/N,Start Lat,Start Long,End Lat,End Long,Duration,Distance (m),Speed Mean,Water Depth Mean,Net Depth Min,Net Depth Max,Comments
JR200,82,2,RMT25,2009-03-23,2009-03-23,MS,"Collins et al., 2012",Stratified,N,-58.02509,-42.91734,-57.99893,-42.86742,00:45,4260,2.73,2911,400,696,
JR200,100,1,RMT25,2009-03-25,2009-03-25,MS,"Collins et al., 2012",Stratified,N,-58.02304,-43.0152,-58.01606,-43.05199,00:30,2512,2.35,2921,198,401,
JR200,100,2,RMT25,2009-03-25,2009-03-25,MS,"Collins et al., 2012",Stratified,N,-58.01576,-43.05336,-58.00706,-43.09339,00:32,2778,2.28,2920,25,204,
JR200,101,1,RMT25,2009-03-25,2009-03-25,MS,"Collins et al., 2012",Stratified,N,-58.01727,-43.06702,-58.0103,-43.12679,00:45,3904,2.15,2933,698,1000,
JR200,101,2,RMT25,2009-03-25,2009-03-25,MS,"Collins et al., 2012",Stratified,N,-58.01004,-43.12808,-57.99664,-43.19438,00:46,4519,2.49,2971,400,704,
JR200,115,1,RMT25,2009-03-27,2009-03-27,MS,"Collins et al., 2012",Stratified,N,-56.80634,-42.23276,-56.79989,-42.26203,00:30,2196,2.25,3003,201,406,
JR200,115,2,RMT25,2009-03-27,2009-03-27,MS,"Collins et al., 2012",Stratified,N,-56.79974,-42.26272,-56.7947,-42.28334,00:22,1558,2.26,3004,52,211,
JR200,127,1,RMT25,2009-03-27,2009-03-27,MS,"Collins et al., 2012",Stratified,N,-56.76525,-42.22536,-56.76296,-42.2714,00:45,3036,2.27,3036,693,1002,
JR200,127,2,RMT25,2009-03-27,2009-03-28,MS,"Collins et al., 2012",Stratified,N,-56.76291,-42.27294,-56.76123,-42.32036,00:46,3119,2.21,3447,399,701,
JR200,128,1,RMT25,2009-03-28,2009-03-28,MS,"Collins et al., 2012",Stratified,N,-56.76825,-42.18029,-56.76776,-42.19628,00:20,1084,2.21,3565,245,274,
JR200,128,2,RMT25,2009-03-28,2009-03-28,MS,"Collins et al., 2012",Stratified,N,-56.76776,-42.19669,-56.76652,-42.21371,00:20,1154,2.19,4067,247,270,
JR200,141,1,RMT25,2009-03-30,2009-03-30,NS1,"Collins et al., 2012",Stratified,N,-55.26539,-41.34794,-55.24651,-41.36377,00:31,2470,2.11,3572,202,402,
JR200,141,2,RMT25,2009-03-30,2009-03-30,NS1,"Collins et al., 2012",Stratified,N,-55.2462,-41.36407,-55.22741,-41.38156,00:30,2493,2.29,3495,35,209,
JR200,142,1,RMT25,2009-03-30,2009-03-30,NS1,"Collins et al., 2012",Stratified,N,-55.24337,-41.36592,-55.22054,-41.38853,00:44,3166,2.04,3415,696,1005,
JR200,142,2,RMT25,2009-03-30,2009-03-30,NS1,"Collins et al., 2012",Stratified,N,-55.21992,-41.38911,-55.19717,-41.41171,00:45,3168,2.01,3259,400,701,
JR200,184,1,RMT25,2009-04-04,2009-04-04,NS2,"Collins et al., 2012",Target,,-52.80751,-40.05762,-52.81134,-39.93183,,,,,,,
JR200,184,2,RMT25,2009-04-04,2009-04-04,NS2,"Collins et al., 2012",Target,,-52.80751,-40.05762,-52.81134,-39.93183,,,,,,,
JR200,185,1,RMT25,2009-04-04,2009-04-04,NS2,"Collins et al., 2012",Stratified,N,-52.81556,-39.95187,-52.82202,-39.90333,00:45,3573,2.03,3792,699,1000,
JR200,185,2,RMT25,2009-04-04,2009-04-04,NS2,"Collins et al., 2012",Stratified,N,-52.82214,-39.90248,-52.82949,-39.85063,00:46,3840,1.97,3794,401,704,
JR200,225,1,RMT25,2009-04-09,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.04739,-33.90005,-50.04189,-33.83017,00:43,5184,1.77,5041,699,1000,
JR200,225,2,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.04184,-33.82883,-50.03833,-33.74314,00:47,6273,2.16,5058,400,705,
JR200,226,1,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.04726,-33.74312,-50.04474,-33.66765,00:45,5529,1.8,5026,202,402,
JR200,226,2,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.04472,-33.66657,-50.04409,-33.58705,00:45,5789,1.79,5048,31,209,
JR200,227,1,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.04964,-33.61238,-50.0496,-33.55812,00:30,3957,1.88,5035,518,554,
JR200,227,2,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.05018,-33.51203,-50.05102,-33.46694,00:25,3282,1.86,5021,285,321,
JR200,235,1,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.60038,-33.83977,-50.59824,-33.79481,00:47,3328,1.93,4859,201,409,
JR200,235,2,RMT25,2009-04-10,2009-04-10,PF,"Collins et al., 2012",Stratified,N,-50.59822,-33.79433,-50.59566,-33.75861,00:42,2693,1.97,4825,10,212,
JR200,236,1,RMT25,2009-04-11,2009-04-11,PF,"Collins et al., 2012",Stratified,N,-50.59647,-33.80679,-50.58998,-33.77351,00:44,2720,1.97,4802,700,1010,
JR200,236,2,RMT25,2009-04-11,2009-04-11,PF,"Collins et al., 2012",Stratified,N,-50.5899,-33.7732,-50.58547,-33.73926,00:45,2661,2.09,4756,397,702,
JR200,237,1,RMT25,2009-04-11,2009-04-11,PF,"Collins et al., 2012",Stratified,N,-50.59979,-33.82353,-50.60351,-33.80146,00:25,1747,2.18,4891,543,603,
JR200,237,2,RMT25,2009-04-11,2009-04-11,PF,"Collins et al., 2012",Stratified,N,-50.60576,-33.7811,-50.60777,-33.76087,00:25,1555,2.14,4937,286,325,
