"","Cruise","Event","Net","Date","Year","ID","Species.Code","Item","Stomach","Prey","Count","Total.Mass.(g)","Prey.Mass.(g)","Prey.Type","Standard.length.(mm)","Period","Comments","a_discovery","b_discovery","weight_discovery_g","log10_PPMR_discovery","Lat","Lon","coordinate.source","SST","temp_depth","CHL","ID_unique","fish_mass_log10","location_group"
"2862","JR161",275,1,"2006-11-28",2006,28,"KRA",1,NA,"Rhincalanus gigas",4,0.012,0.003,NA,43,"Night",NA,9.04580928796673e-06,3.01806749596662,0.769777971357519,2.40924422406442,-50.10324,-38.12951,"cruise report",3.62510454207659,2.08008669018745,0.340349668761094,"JR161_275_KRA_28",-0.113634521215914,8
"2863","JR161",199,2,"2006-11-20",2006,11,"KRA",5,NA,"Paraeuchaeta spp",1,0.01,0.01,NA,64,"Night",NA,9.04580928796673e-06,3.01806749596662,2.55635108379839,2.40762049865915,-55.20644,-41.25129,"cruise report",1.8019776172936,2.04756616652012,0.173238918185234,"JR161_199_KRA_11",0.407620498659147,6
"2865","JR161",267,1,"2006-11-26",2006,90,"KRA",2,NA,"Thysanoessa spp",16,0.153,0.0095625,NA,63,"Day",NA,9.04580928796673e-06,3.01806749596662,2.43769099935794,2.40640720563144,-52.8061,-40.00328,"cruise report",1.53429366722703,1.33252969756722,0.326310115059217,"JR161_267_KRA_90",0.386978653793115,7
"2866","JR161",218,2,"2006-11-21",2006,9,"KRA",3,NA,"Rhincalanus gigas",2,0.003,0.0015,NA,34,"Day",NA,9.04580928796673e-06,3.01806749596662,0.378925792509711,2.40246290854025,-55.31128,-41.37365,"cruise report",1.44347058311105,2.01109044402838,0.167089342077573,"JR161_218_KRA_9",-0.421445832404069,6
"2867","JR161",136,1,"2006-11-09",2006,54,"GYR",1,NA,"Pteropoda indet",1,0.014,0.014,NA,78,"Night",NA,4.57573141795611e-06,3.11108279890465,3.52308804775124,2.40079546137036,-59.5633,-44.26847,"cruise report",-1.54875940158963,0.553062551468611,0.283463891347249,"JR161_136_GYR_54",0.546923497048595,4
"2868","JR161",136,1,"2006-11-09",2006,60,"GYR",1,NA,"Thysanoessa spp",1,0.014,0.014,NA,78,"Night",NA,4.57573141795611e-06,3.11108279890465,3.52308804775124,2.40079546137036,-59.5633,-44.26847,"cruise report",-1.54875940158963,0.553062551468611,0.283463891347249,"JR161_136_GYR_60",0.546923497048595,4
"2869","JR161",283,2,"2006-11-28",2006,5,"GYF",1,NA,"Themisto gaudichaudii",1,0.066,0.066,NA,115,"Day",NA,3.53210772883569e-06,3.23693929998123,16.5343743394082,2.39884383031907,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_GYF_5",1.21838776586094,8
"2870","JR161",91,1,"2006-11-02",2006,89,"GYR",2,NA,"Euphausiid indet",1,0.051,0.051,NA,118,"Day",NA,4.57573141795611e-06,3.11108279890465,12.7719438043927,2.3986868229101,-60.64292,-48.72767,"cruise report",-1.8521866299212,-0.0764732614159584,0.173203550030788,"JR161_91_GYR_89",1.10625699900804,2
"2871","JR161",283,2,"2006-11-28",2006,6,"GYF",2,NA,"Chaetognatha indet",1,0.031,0.031,NA,91,"Day",NA,3.53210772883569e-06,3.23693929998123,7.75054093081059,2.39797032029371,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_GYF_6",0.889332014127985,8
"2872","JR161",84,1,"2006-11-02",2006,67,"GYR",1,NA,"Euphausiid indet",1,0.039,0.039,NA,108,"Night",NA,4.57573141795611e-06,3.11108279890465,9.6963926412231,2.39554558627096,-60.55322,-48.93079,"cruise report",-1.84745015725493,-0.0458326779305935,0.14508181065321,"JR161_84_GYR_67",0.986610193297458,2
"2873","JR161",43,1,"2006-10-29",2006,66,"PRM",1,NA,"Rhincalanus gigas",1,0.003,0.003,NA,39,"Night",NA,1.9799489503369e-05,2.87584615102016,0.745265503013238,2.39518976427293,-57.53066,-50.50526,"cruise report",-0.642872381955385,1.64806667044759,0.144116734713316,"JR161_43_PRM_66",-0.127688981007411,1
"2874","JR161",136,1,"2006-11-09",2006,91,"ELN",1,NA,"Pteropoda indet",16,0.076,0.00475,NA,48,"Night",NA,3.72072876694056e-06,3.27156788257353,1.17739678910019,2.39422923748066,-59.5633,-44.26847,"cruise report",-1.54875940158963,0.553062551468611,0.283463891347249,"JR161_136_ELN_91",0.0709228471055264,4
"2875","JR161",273,1,"2006-11-28",2006,20,"KRA",3,NA,"Eucalanus spp",17,0.031,0.00182352941176471,NA,36,"Night","check ID",9.04580928796673e-06,3.01806749596662,0.450270421398472,2.39256064631386,-49.96331,-37.96272,"cruise report",3.48906523436308,2.09224526435137,0.296024832626184,"JR161_273_KRA_20",-0.346526581230144,8
