"","Taxa","Group","Cruise","Event","Date","Net.number","D.N","Open.time","Close.Time","Open.depth","Close.depth","depth.covered","distance.travelled..km.","volume.filtered.in.m3..assuming.mouth.of.25m2.","X","mass..g.","N","Dry.mass....wet.mass.","mean.Individual.wet.mass..g.","mean.individual.dry.mass..g.","total.wet.mass..g.m.3.","total.dry.mass..g.","total.dry.mass..g.m.3.","total.density..ind.m.3.","total.density..ind.m.2.","Lat","Lon"
"1","Chaetognaths indet.","Chaet","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,1,11,13,0.090909091,0.011818182,1.13e-05,0.13,1.46e-06,0.000123944,0.038954254,-57.66753,-50.4272
"2","Gnathophausia sp.","Dec","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,5,25,0.1,0.025,5.63e-06,0.125,1.41e-06,5.63e-05,0.017706479,-57.66753,-50.4272
"3","Euphausia triacantha","Euphausiid","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,4,25,0.125,0.03125,5.63e-06,0.125,1.41e-06,4.51e-05,0.014165183,-57.66753,-50.4272
"4","Thysanoessa sp.","Euphausiid","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,4,25,0.125,0.03125,5.63e-06,0.125,1.41e-06,4.51e-05,0.014165183,-57.66753,-50.4272
"5","Spongiobranchia sp.","Pteropod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,5,33,0.1,0.033,5.63e-06,0.165,1.86e-06,5.63e-05,0.017706479,-57.66753,-50.4272
"6","Tomopteris sp.","Worm","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,2,15.49,0.25,0.038725,5.63e-06,0.07745,8.73e-07,2.25e-05,0.007082592,-57.66753,-50.4272
"7","Cyphocaris richardi","Amphipod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,3,23.86,0.166666667,0.039766667,5.63e-06,0.1193,1.34e-06,3.38e-05,0.010623887,-57.66753,-50.4272
"8","Parandania boecki","Amphipod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,3,23.86,0.166666667,0.039766667,5.63e-06,0.1193,1.34e-06,3.38e-05,0.010623887,-57.66753,-50.4272
"9","Rhincalanus gigas","copepod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,2,16,0.25,0.04,5.63e-06,0.08,9.01e-07,2.25e-05,0.007082592,-57.66753,-50.4272
"10","Cyclothone sp.","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,4,33.05,0.125,0.0413125,5.63e-06,0.16525,1.86e-06,4.51e-05,0.014165183,-57.66753,-50.4272
"11","Gennadus sp.","Dec","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,10,29,13,0.344827586,0.044827586,0.000112676,1.3,1.46e-05,0.000326761,0.102697577,-57.66753,-50.4272
"12","Sibogita sp.","Jelly","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,5,4,4.5,1.25,0.05625,5.63e-05,0.225,2.54e-06,4.51e-05,0.014165183,-57.66753,-50.4272
"13","Themisto gaudichaudii","Amphipod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,2,23.86,0.25,0.05965,5.63e-06,0.1193,1.34e-06,2.25e-05,0.007082592,-57.66753,-50.4272
"14","Sergestes sp.","Deca","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,1,13,0.5,0.065,5.63e-06,0.065,7.32e-07,1.13e-05,0.003541296,-57.66753,-50.4272
"15","Eusirius perdentatus","Amphipod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,1,23.86,0.5,0.1193,5.63e-06,0.1193,1.34e-06,1.13e-05,0.003541296,-57.66753,-50.4272
"16","Lanceola sayana","Amphipod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,1,23.86,0.5,0.1193,5.63e-06,0.1193,1.34e-06,1.13e-05,0.003541296,-57.66753,-50.4272
"17","Bathylagus antarcticus","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,1,1,13.53333333,1,0.135333333,1.13e-05,0.135333333,1.52e-06,1.13e-05,0.003541296,-57.66753,-50.4272
"18","Pteropoda indet.","Pteropod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,0.5,1,33,0.5,0.165,5.63e-06,0.165,1.86e-06,1.13e-05,0.003541296,-57.66753,-50.4272
