"","Taxa","Group","Cruise","Event","Date","Net.number","D.N","Open.time","Close.Time","Open.depth","Close.depth","depth.covered","distance.travelled..km.","volume.filtered.in.m3..assuming.mouth.of.25m2.","X","mass..g.","N","Dry.mass....wet.mass.","mean.Individual.wet.mass..g.","mean.individual.dry.mass..g.","total.wet.mass..g.m.3.","total.dry.mass..g.","total.dry.mass..g.m.3.","total.density..ind.m.3.","total.density..ind.m.2.","Lat","Lon"
"19","Salpa thompsoni","Jelly","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,61,10,4.71,6.1,0.28731,0.000687324,2.8731,3.24e-05,0.000112676,0.035412958,-57.66753,-50.4272
"20","Clione sp.","Pteropod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,2,2,33,1,0.33,2.25e-05,0.66,7.44e-06,2.25e-05,0.007082592,-57.66753,-50.4272
"21","Gigantocypris sp.","Ostracod","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,28,17,24,1.647058824,0.395294118,0.000315493,6.72,7.57e-05,0.000191549,0.060202028,-57.66753,-50.4272
"22","Krefftichthys anderssoni","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,55,34,26.7,1.617647059,0.431911765,0.000619718,14.685,0.000165465,0.000383099,0.120404056,-57.66753,-50.4272
"23","Atolla wyvillei","Jelly","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,302,17,4.92,17.76470588,0.874023529,0.003402817,14.8584,0.000167419,0.000191549,0.060202028,-57.66753,-50.4272
"24","Electrona carlsbergi","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,4,1,30.9,4,1.236,4.51e-05,1.236,1.39e-05,1.13e-05,0.003541296,-57.66753,-50.4272
"25","Slosarczykovia circumantarctica","Squid","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,9,1,14.79,9,1.3311,0.000101408,1.3311,1.5e-05,1.13e-05,0.003541296,-57.66753,-50.4272
"26","Poromitra crassiceps","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,7,1,26.7,7,1.869,7.89e-05,1.869,2.11e-05,1.13e-05,0.003541296,-57.66753,-50.4272
"27","Periphylla periphylla","Jelly","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,312,6,4.5,52,2.34,0.003515493,14.04,0.000158197,6.76e-05,0.021247775,-57.66753,-50.4272
"28","Borostomias antarcticus","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,11,1,26.7,11,2.937,0.000123944,2.937,3.31e-05,1.13e-05,0.003541296,-57.66753,-50.4272
"29","Cynomacrurus piriei","Fish","JR161",42,"29/10/2006",1,"N","00:24","01:12",999.29,685,314.29,3.55,88750,NA,264,2,26.7,132,35.244,0.002974648,70.488,0.000794231,2.25e-05,0.007082592,-57.66753,-50.4272
"30","Themisto gaudichaudii","Amphipod","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,0.5,6,23.86,0.083333333,0.019883333,7.09e-06,0.1193,1.69e-06,8.51e-05,0.01693617,-57.53066,-50.5053
"31","Euphausia triacantha","Euphausiid","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,4,36,25,0.111111111,0.027777778,5.67e-05,1,1.42e-05,0.000510638,0.101617021,-57.53066,-50.5053
"32","Thysanoessa sp.","Euphausiid","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,4,29,25,0.137931034,0.034482759,5.67e-05,1,1.42e-05,0.000411348,0.081858156,-57.53066,-50.5053
"33","Sibogita sp.","Jelly","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,28,36,4.5,0.777777778,0.035,0.000397163,1.26,1.79e-05,0.000510638,0.101617021,-57.53066,-50.5053
"34","Parandania boecki","Amphipod","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,0.5,2,23.86,0.25,0.05965,7.09e-06,0.1193,1.69e-06,2.84e-05,0.00564539,-57.53066,-50.5053
"35","Cyphocaris richardi","Amphipod","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,6,22,23.86,0.272727273,0.065072727,8.51e-05,1.4316,2.03e-05,0.000312057,0.062099291,-57.53066,-50.5053
"36","Salpa thompsoni","Jelly","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,12,6,4.71,2,0.0942,0.000170213,0.5652,8.02e-06,8.51e-05,0.01693617,-57.53066,-50.5053
"37","Lanceola sayana","Amphipod","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,0.5,1,23.86,0.5,0.1193,7.09e-06,0.1193,1.69e-06,1.42e-05,0.002822695,-57.53066,-50.5053
"38","Calycopsis borgrevichi","Jelly","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,6,2,4.66,3,0.1398,8.51e-05,0.2796,3.97e-06,2.84e-05,0.00564539,-57.53066,-50.5053
"39","Periphylla periphylla","Jelly","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,23,7,4.5,3.285714286,0.147857143,0.000326241,1.035,1.47e-05,9.93e-05,0.019758865,-57.53066,-50.5053
"40","Sergia sp.","Deca","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,11,7,13,1.571428571,0.204285714,0.000156028,1.43,2.03e-05,9.93e-05,0.019758865,-57.53066,-50.5053
"41","Sergestes sp.","Deca","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,4,2,13,2,0.26,5.67e-05,0.52,7.38e-06,2.84e-05,0.00564539,-57.53066,-50.5053
"42","Protomyctophum bolini","Fish","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,49,34,25.4,1.441176471,0.366058824,0.000695035,12.446,0.000176539,0.00048227,0.095971631,-57.53066,-50.5053
"43","Acanthephyra sp.","Deca","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,4,1,13,4,0.52,5.67e-05,0.52,7.38e-06,1.42e-05,0.002822695,-57.53066,-50.5053
"44","Krefftichthys anderssoni","Fish","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,101,42,26.7,2.404761905,0.642071429,0.001432624,26.967,0.000382511,0.000595745,0.118553191,-57.53066,-50.5053
"45","Electrona carlsbergi","Fish","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,88,15,30.9,5.866666667,1.8128,0.001248227,27.192,0.000385702,0.000212766,0.042340426,-57.53066,-50.5053
"46","Gymnoscopelus braueri","Fish","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,28,4,34,7,2.38,0.000397163,9.52,0.000135035,5.67e-05,0.01129078,-57.53066,-50.5053
"47","Bathylagus sp.","Fish","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,46,2,13.53333333,23,3.112666667,0.000652482,6.225333333,8.83e-05,2.84e-05,0.00564539,-57.53066,-50.5053
"48","Lampanyctus achirus","Fish","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,12,1,26.7,12,3.204,0.000170213,3.204,4.54e-05,1.42e-05,0.002822695,-57.53066,-50.5053
"49","Histioteuthis eltaninae","Squid","JR161",43,"29/10/2006",1,"N","03:51","04:25",391,192,199,2.82,70500,NA,34,1,12.3,34,4.182,0.00048227,4.182,5.93e-05,1.42e-05,0.002822695,-57.53066,-50.5053
"50","Gymnoscopelus braueri","Fish","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,0.5,26,34,0.019230769,0.006538462,7.12e-06,0.17,2.42e-06,0.000370107,0.057921708,-57.53066,-50.5053
"51","Euphausia frigida","Euphausiid","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,0.5,13,25,0.038461538,0.009615385,7.12e-06,0.125,1.78e-06,0.000185053,0.028960854,-57.53066,-50.5053
"52","Sibogita sp.","Jelly","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,1,4,4.5,0.25,0.01125,1.42e-05,0.045,6.41e-07,5.69e-05,0.008911032,-57.53066,-50.5053
"53","Protomyctophum tenisoni","Fish","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,0.5,10,27.8,0.05,0.0139,7.12e-06,0.139,1.98e-06,0.000142349,0.02227758,-57.53066,-50.5053
"54","Cyllopus magellanicus","Amphipod","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,0.5,4,23.86,0.125,0.029825,7.12e-06,0.1193,1.7e-06,5.69e-05,0.008911032,-57.53066,-50.5053
"55","Themisto gaudichaudii","Amphipod","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,4,27,23.86,0.148148148,0.035348148,5.69e-05,0.9544,1.36e-05,0.000384342,0.060149466,-57.53066,-50.5053
"56","Euphausia triacantha","Euphausiid","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,54,232,25,0.232758621,0.058189655,0.000768683,13.5,0.000192171,0.003302491,0.516839858,-57.53066,-50.5053
"57","Salpa thompsoni","Jelly","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,97,58,4.71,1.672413793,0.07877069,0.001380783,4.5687,6.5e-05,0.000825623,0.129209964,-57.53066,-50.5053
"58","Parandania boecki","Amphipod","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,0.5,1,23.86,0.5,0.1193,7.12e-06,0.1193,1.7e-06,1.42e-05,0.002227758,-57.53066,-50.5053
"59","Electrona sp.","Fish","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,1,2,30.9,0.5,0.1545,1.42e-05,0.309,4.4e-06,2.85e-05,0.004455516,-57.53066,-50.5053
"60","Clione sp.","Pteropod","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,0.5,1,33,0.5,0.165,7.12e-06,0.165,2.35e-06,1.42e-05,0.002227758,-57.53066,-50.5053
"61","Calycopsis borgrevichi","Jelly","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,35,9,4.66,3.888888889,0.181222222,0.000498221,1.631,2.32e-05,0.000128114,0.020049822,-57.53066,-50.5053
"62","Slosarczykovia circumantarctica","Squid","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,10,2,14.79,5,0.7395,0.000142349,1.479,2.11e-05,2.85e-05,0.004455516,-57.53066,-50.5053
"63","Electrona carlsbergi","Fish","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,5,1,30.9,5,1.545,7.12e-05,1.545,2.2e-05,1.42e-05,0.002227758,-57.53066,-50.5053
"64","Periphylla periphylla","Jelly","JR161",43,"29/10/2006",2,"N","04:26","04:59",178,21.5,156.5,2.81,70250,NA,4433,2,4.5,2216.5,99.7425,0.063103203,199.485,0.002839644,2.85e-05,0.004455516,-57.53066,-50.5053
"65","Salpa thompsoni","Jelly","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,3,4.71,0.166666667,0.00785,5.63e-06,0.02355,2.65e-07,3.38e-05,0.009684507,-57.76618,-50.5423
"66","Thysanoessa sp.","Euphausiid","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,1,21,25,0.047619048,0.011904762,1.13e-05,0.25,2.82e-06,0.00023662,0.067791549,-57.76618,-50.5423
"67","Euphausia triacantha","Euphausiid","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,1,7,25,0.142857143,0.035714286,1.13e-05,0.25,2.82e-06,7.89e-05,0.022597183,-57.76618,-50.5423
"68","Sagitta maxima","Chaet","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,8,27,13,0.296296296,0.038518519,9.01e-05,1.04,1.17e-05,0.000304225,0.087160563,-57.76618,-50.5423
"69","Eusiroides stenopleura","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,3,23.86,0.166666667,0.039766667,5.63e-06,0.1193,1.34e-06,3.38e-05,0.009684507,-57.76618,-50.5423
"70","Calycopsis borgrevichi","Jelly","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,1,1,4.66,1,0.0466,1.13e-05,0.0466,5.25e-07,1.13e-05,0.003228169,-57.76618,-50.5423
"71","Sergia sp.","Deca","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,1,13,0.5,0.065,5.63e-06,0.065,7.32e-07,1.13e-05,0.003228169,-57.76618,-50.5423
"72","Cyphocaris richardi","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,6,19,23.86,0.315789474,0.075347368,6.76e-05,1.4316,1.61e-05,0.000214085,0.061335211,-57.76618,-50.5423
"73","Gnathophausia sp.","Dec","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,3,7,25,0.428571429,0.107142857,3.38e-05,0.75,8.45e-06,7.89e-05,0.022597183,-57.76618,-50.5423
"74","Amphipod ""E""","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,1,23.86,0.5,0.1193,5.63e-06,0.1193,1.34e-06,1.13e-05,0.003228169,-57.76618,-50.5423
"75","Chuneola paradoxa","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,1,23.86,0.5,0.1193,5.63e-06,0.1193,1.34e-06,1.13e-05,0.003228169,-57.76618,-50.5423
"76","Parandania boecki","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,4,8,23.86,0.5,0.1193,4.51e-05,0.9544,1.08e-05,9.01e-05,0.025825352,-57.76618,-50.5423
"77","Primno macropa","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,1,23.86,0.5,0.1193,5.63e-06,0.1193,1.34e-06,1.13e-05,0.003228169,-57.76618,-50.5423
"78","Themisto gaudichaudii","Amphipod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,0.5,1,23.86,0.5,0.1193,5.63e-06,0.1193,1.34e-06,1.13e-05,0.003228169,-57.76618,-50.5423
"79","Gennadus sp.","Dec","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,19,19,13,1,0.13,0.000214085,2.47,2.78e-05,0.000214085,0.061335211,-57.76618,-50.5423
"80","Gigantocypris sp.","Ostracod","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,19,13,24,1.461538462,0.350769231,0.000214085,4.56,5.14e-05,0.000146479,0.041966197,-57.76618,-50.5423
"81","Krefftichthys anderssoni","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,38.4,24,26.7,1.6,0.4272,0.000432676,10.2528,0.000115525,0.000270423,0.077476056,-57.76618,-50.5423
"82","Acanthephyra sp.","Deca","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,53,7,13,7.571428571,0.984285714,0.000597183,6.89,7.76e-05,7.89e-05,0.022597183,-57.76618,-50.5423
"83","Atolla wyvillei","Jelly","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,81,3,4.92,27,1.3284,0.000912676,3.9852,4.49e-05,3.38e-05,0.009684507,-57.76618,-50.5423
"84","Electrona carlsbergi","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,5,1,30.9,5,1.545,5.63e-05,1.545,1.74e-05,1.13e-05,0.003228169,-57.76618,-50.5423
"85","Bathylagus antarcticus","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,48.8,4,13.53333333,12.2,1.651066667,0.000549859,6.604266667,7.44e-05,4.51e-05,0.012912676,-57.76618,-50.5423
"86","Nansenia antarctica","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,7.3,1,26.7,7.3,1.9491,8.23e-05,1.9491,2.2e-05,1.13e-05,0.003228169,-57.76618,-50.5423
"87","Gymnoscopelus braueri","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,5.9,1,34,5.9,2.006,6.65e-05,2.006,2.26e-05,1.13e-05,0.003228169,-57.76618,-50.5423
"88","Periphylla periphylla","Jelly","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,942,20,4.5,47.1,2.1195,0.010614085,42.39,0.000477634,0.000225352,0.06456338,-57.76618,-50.5423
"89","Electrona antarctica","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,7,1,30.9,7,2.163,7.89e-05,2.163,2.44e-05,1.13e-05,0.003228169,-57.76618,-50.5423
"90","Poromitra crassiceps","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,25,2,26.7,12.5,3.3375,0.00028169,6.675,7.52e-05,2.25e-05,0.006456338,-57.76618,-50.5423
"91","Lampanyctus achirus","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,42,3,26.7,14,3.738,0.000473239,11.214,0.000126355,3.38e-05,0.009684507,-57.76618,-50.5423
"92","Borostomias antarcticus","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,22.3,1,26.7,22.3,5.9541,0.000251268,5.9541,6.71e-05,1.13e-05,0.003228169,-57.76618,-50.5423
"93","Benthalbella macropinna","Fish","JR161",56,"30/10/2006",1,"N","00:13","01:01",699,412.5,286.5,3.55,88750,NA,35.3,1,23,35.3,8.119,0.000397746,8.119,9.15e-05,1.13e-05,0.003228169,-57.76618,-50.5423
"94","Diphyes sp. 1","Jelly","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,1,3,4.56,0.333333333,0.0152,5.33e-05,0.0456,2.432e-06,0.00016,0.0447952,-60.53885,-48.7458
"95","Euchaeta sp.","copepod","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,0.5,3,16,0.166666667,0.026666667,2.67e-05,0.08,4.27e-06,0.00016,0.0447952,-60.53885,-48.7458
"96","Gennadus sp.","Dec","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,1,3,13,0.333333333,0.043333333,5.33e-05,0.13,6.93e-06,0.00016,0.0447952,-60.53885,-48.7458
"97","Cyphocaris richardi","Amphipod","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,1,4,23.86,0.25,0.05965,5.33e-05,0.2386,1.27e-05,0.000213333,0.059726933,-60.53885,-48.7458
"98","Chaetognaths indet.","Chaet","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,31,42,13,0.738095238,0.095952381,0.001653333,4.03,0.000214933,0.00224,0.6271328,-60.53885,-48.7458
"99","Gigantocypris sp.","Ostracod","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,0.5,1,24,0.5,0.12,2.67e-05,0.12,6.4e-06,5.33e-05,0.014931733,-60.53885,-48.7458
"100","Hydromedusae indet.","Jelly","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,20,6,4.5,3.333333333,0.15,0.001066667,0.9,4.8e-05,0.00032,0.0895904,-60.53885,-48.7458
"101","Sergia sp.","Deca","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,6,3,13,2,0.26,0.00032,0.78,4.16e-05,0.00016,0.0447952,-60.53885,-48.7458
"102","Electrona antarctica","Fish","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,25,5,30.9,5,1.545,0.001333333,7.725,0.000412,0.000266667,0.074658667,-60.53885,-48.7458
"103","Bathylagus sp.","Fish","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,340,29,13.53333333,11.72413793,1.586666667,0.018133333,46.01333333,0.002454044,0.001546667,0.433020267,-60.53885,-48.7458
"104","Atolla wyvillei","Jelly","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,290,7,4.92,41.42857143,2.038285714,0.015466667,14.268,0.00076096,0.000373333,0.104522133,-60.53885,-48.7458
"105","Gymnoscopelus opisthopterus","Fish","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,26,1,19.9,26,5.174,0.001386667,5.174,0.000275947,5.33e-05,0.014931733,-60.53885,-48.7458
"106","Periphylla periphylla","Jelly","JR161",73,"01/11/2006",1,"N","03:21","04:02",979.97,700,279.97,0.75,18750,NA,1993,4,4.5,498.25,22.42125,0.106293333,89.685,0.0047832,0.000213333,0.059726933,-60.53885,-48.7458
"107","Diphyes sp. 1","Jelly","JR161",73,"01/11/2006",2,"N","04:04","04:40",702.02,403.5,298.52,3.24,81000,NA,0.5,2,4.56,0.25,0.0114,6.17e-06,0.0228,2.81e-07,2.47e-05,0.007370864,-60.53885,-48.7458
"108","Sergia sp.","Deca","JR161",73,"01/11/2006",2,"N","04:04","04:40",702.02,403.5,298.52,3.24,81000,NA,0.5,1,13,0.5,0.065,6.17e-06,0.065,8.02e-07,1.23e-05,0.003685432,-60.53885,-48.7458
