"","Taxa","Group","Cruise","Event","Date","Net.number","D.N","Open.time","Close.Time","Open.depth","Close.depth","depth.covered","distance.travelled..km.","volume.filtered.in.m3..assuming.mouth.of.25m2.","X","mass..g.","N","Dry.mass....wet.mass.","mean.Individual.wet.mass..g.","mean.individual.dry.mass..g.","total.wet.mass..g.m.3.","total.dry.mass..g.","total.dry.mass..g.m.3.","total.density..ind.m.3.","total.density..ind.m.2.","Lat","Lon"
"160","Salpa thompsoni","Jelly","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,24201,9161,4.71,2.641742168,0.124426056,0.352014545,1139.8671,0.016579885,0.133250909,25.71742545,-59.66591,-44.0538
"161","Galiteuthis glacialis","Squid","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,3,3,14.79,1,0.1479,4.36e-05,0.4437,6.45e-06,4.36e-05,0.008421818,-59.66591,-44.0538
"162","Euphausia superba","Euphausiid","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,10,13,25,0.769230769,0.192307692,0.000145455,2.5,3.64e-05,0.000189091,0.036494545,-59.66591,-44.0538
"163","Bathylagus sp.","Fish","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,8,2,13.53333333,4,0.541333333,0.000116364,1.082666667,1.57e-05,2.91e-05,0.005614545,-59.66591,-44.0538
"164","Electrona antarctica","Fish","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,445,132,30.9,3.371212121,1.041704545,0.006472727,137.505,0.002000073,0.00192,0.37056,-59.66591,-44.0538
"165","Protomyctophum choriodon","Fish","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,10,2,26.6,5,1.33,0.000145455,2.66,3.87e-05,2.91e-05,0.005614545,-59.66591,-44.0538
"166","Gymnoscopelus braueri","Fish","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,198,40,34,4.95,1.683,0.00288,67.32,0.0009792,0.000581818,0.112290909,-59.66591,-44.0538
"167","Periphylla periphylla","Jelly","JR200",55,"20/03/2009",2,"N","03:14","03:47",208,15,193,2.75,68750,NA,286,1,4.5,286,12.87,0.00416,12.87,0.0001872,1.45e-05,0.002807273,-59.66591,-44.0538
"168","Decapoda sp.","Deca","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,0.5,1,13,0.5,0.065,4.84e-06,0.065,6.3e-07,9.69e-06,0.00293753,-59.66878,-44.01
"169","Calycopsis borgrevichi","Jelly","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,7,5,4.66,1.4,0.06524,6.78e-05,0.3262,3.16e-06,4.84e-05,0.014687651,-59.66878,-44.01
"170","Clear Jellyfish disklike (unknown)","Jelly","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,6,3,4.5,2,0.09,5.81e-05,0.27,2.62e-06,2.91e-05,0.008812591,-59.66878,-44.01
"171","Gennadus sp.","Dec","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,3,4,13,0.75,0.0975,2.91e-05,0.39,3.78e-06,3.87e-05,0.011750121,-59.66878,-44.01
"172","Cyllopus lucasi","Amphipod","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,0.5,1,23.86,0.5,0.1193,4.84e-06,0.1193,1.16e-06,9.69e-06,0.00293753,-59.66878,-44.01
"173","Cyphocaris richardi","Amphipod","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,1,2,23.86,0.5,0.1193,9.69e-06,0.2386,2.31e-06,1.94e-05,0.005875061,-59.66878,-44.01
"174","Cyphocaris faurei","Amphipod","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,1,2,23.86,0.5,0.1193,9.69e-06,0.2386,2.31e-06,1.94e-05,0.005875061,-59.66878,-44.01
"175","Euphausia frigida","Euphausiid","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,0.5,1,25,0.5,0.125,4.84e-06,0.125,1.21e-06,9.69e-06,0.00293753,-59.66878,-44.01
"176","Euphausia triacantha","Euphausiid","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,0.5,1,25,0.5,0.125,4.84e-06,0.125,1.21e-06,9.69e-06,0.00293753,-59.66878,-44.01
"177","Thysanoessa sp.","Euphausiid","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,0.5,1,25,0.5,0.125,4.84e-06,0.125,1.21e-06,9.69e-06,0.00293753,-59.66878,-44.01
"178","Neognathophausia gigas","Dec","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,0.5,1,25,0.5,0.125,4.84e-06,0.125,1.21e-06,9.69e-06,0.00293753,-59.66878,-44.01
"179","Salpa thompsoni","Jelly","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,566,136,4.71,4.161764706,0.196019118,0.00548184,26.6586,0.000258195,0.001317191,0.399504116,-59.66878,-44.01
"180","Cyclothone sp.","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,6,8,33.05,0.75,0.247875,5.81e-05,1.983,1.92e-05,7.75e-05,0.023500242,-59.66878,-44.01
"181","Euphausia superba","Euphausiid","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,2,2,25,1,0.25,1.94e-05,0.5,4.84e-06,1.94e-05,0.005875061,-59.66878,-44.01
"182","Notolepis sp. (larvae)","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,3,2,19.2,1.5,0.288,2.91e-05,0.576,5.58e-06,1.94e-05,0.005875061,-59.66878,-44.01
"183","Gymnoscopelus braueri","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,1,1,34,1,0.34,9.69e-06,0.34,3.29e-06,9.69e-06,0.00293753,-59.66878,-44.01
"184","Gigantocypris sp.","Ostracod","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,3,2,24,1.5,0.36,2.91e-05,0.72,6.97e-06,1.94e-05,0.005875061,-59.66878,-44.01
"185","Pasiphaea scotiae","Deca","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,7,2,13,3.5,0.455,6.78e-05,0.91,8.81e-06,1.94e-05,0.005875061,-59.66878,-44.01
"186","Protomyctophum bolini","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,2,1,25.4,2,0.508,1.94e-05,0.508,4.92e-06,9.69e-06,0.00293753,-59.66878,-44.01
"187","Clear Jellyfish (unknown)","Jelly","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,13,1,4.5,13,0.585,0.000125908,0.585,5.67e-06,9.69e-06,0.00293753,-59.66878,-44.01
"188","Atolla wyvillei","Jelly","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,155,8,4.92,19.375,0.95325,0.001501211,7.626,7.39e-05,7.75e-05,0.023500242,-59.66878,-44.01
"189","Electrona antarctica","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,108,20,30.9,5.4,1.6686,0.001046005,33.372,0.000323215,0.000193705,0.058750605,-59.66878,-44.01
"190","Bathylagus sp.","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,540,25,13.53333333,21.6,2.9232,0.005230024,73.08,0.000707797,0.000242131,0.073438257,-59.66878,-44.01
"191","Gymnoscopelus opisthopterus","Fish","JR200",56,"20/03/2009",1,"N","06:03","06:50",1001.5,698.2,303.3,4.13,103250,NA,42,1,19.9,42,8.358,0.00040678,8.358,8.09e-05,9.69e-06,0.00293753,-59.66878,-44.01
"192","Thysanoessa sp.","Euphausiid","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,1,13,25,0.076923077,0.019230769,1.03e-05,0.25,2.57e-06,0.000133676,0.041132134,-59.66878,-44.01
"193","Diphyes sp. 1","Jelly","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,2,3,4.56,0.666666667,0.0304,2.06e-05,0.0912,9.38e-07,3.08e-05,0.009492031,-59.66878,-44.01
"194","Cyllopus lucasi","Amphipod","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,0.5,2,23.86,0.25,0.05965,5.14e-06,0.1193,1.23e-06,2.06e-05,0.006328021,-59.66878,-44.01
"195","Cyphocaris richardi","Amphipod","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,1,4,23.86,0.25,0.05965,1.03e-05,0.2386,2.45e-06,4.11e-05,0.012656041,-59.66878,-44.01
"196","Calycopsis borgrevichi","Jelly","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,4,3,4.66,1.333333333,0.062133333,4.11e-05,0.1864,1.92e-06,3.08e-05,0.009492031,-59.66878,-44.01
"197","Euphausia triacantha","Euphausiid","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,3,12,25,0.25,0.0625,3.08e-05,0.75,7.71e-06,0.000123393,0.037968123,-59.66878,-44.01
"198","Gennadus sp.","Dec","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,0.5,1,13,0.5,0.065,5.14e-06,0.065,6.68e-07,1.03e-05,0.00316401,-59.66878,-44.01
"199","Salpa thompsoni","Jelly","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,1656,508,4.71,3.25984252,0.153538583,0.017028278,77.9976,0.000802032,0.00522365,1.607317224,-59.66878,-44.01
"200","Gigantocypris muelleri","Ostracod","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,1,1,24,1,0.24,1.03e-05,0.24,2.47e-06,1.03e-05,0.00316401,-59.66878,-44.01
"201","Euphausia superba","Euphausiid","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,2,2,25,1,0.25,2.06e-05,0.5,5.14e-06,2.06e-05,0.006328021,-59.66878,-44.01
"202","Pasiphaea scotiae","Deca","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,5,1,13,5,0.65,5.14e-05,0.65,6.68e-06,1.03e-05,0.00316401,-59.66878,-44.01
"203","Notolepis coatsi","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,33,5,19.2,6.6,1.2672,0.000339332,6.336,6.52e-05,5.14e-05,0.015820051,-59.66878,-44.01
"204","Bathylagus sp.","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,634,57,13.53333333,11.12280702,1.50528655,0.00651928,85.80133333,0.000882276,0.000586118,0.180348586,-59.66878,-44.01
"205","Electrona antarctica","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,237,44,30.9,5.386363636,1.664386364,0.002437018,73.233,0.000753039,0.000452442,0.139216452,-59.66878,-44.01
"206","Atolla wyvillei","Jelly","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,181,5,4.92,36.2,1.78104,0.001861183,8.9052,9.16e-05,5.14e-05,0.015820051,-59.66878,-44.01
"207","Gymnoscopelus braueri","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,242,31,34,7.806451613,2.654193548,0.002488432,82.28,0.000846067,0.000318766,0.098084319,-59.66878,-44.01
"208","Gymnoscopelus nicholsi","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,73,2,40.4,36.5,14.746,0.000750643,29.492,0.00030326,2.06e-05,0.006328021,-59.66878,-44.01
"209","Benthalbella elongata","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,112,1,23,112,25.76,0.001151671,25.76,0.000264884,1.03e-05,0.00316401,-59.66878,-44.01
"210","Paradiplospinus gracilis","Fish","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,88,1,30.9,88,27.192,0.000904884,27.192,0.000279609,1.03e-05,0.00316401,-59.66878,-44.01
"211","Periphylla periphylla","Jelly","JR200",56,"20/03/2009",2,"N","06:51","07:36",704.4,396.7,307.7,3.89,97250,NA,4301,3,4.5,1433.666667,64.515,0.044226221,193.545,0.00199018,3.08e-05,0.009492031,-59.66878,-44.01
"212","Euphausia triacantha","Euphausiid","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,0.5,3,25,0.166666667,0.041666667,5.12e-06,0.125,1.28e-06,3.07e-05,0.009670588,-58.07108,-43.0157
"213","Hippopodiidae","Jelly","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,5,5,4.5,1,0.045,5.12e-05,0.225,2.3e-06,5.12e-05,0.016117647,-58.07108,-43.0157
"214","Diphyes sp. 1","Jelly","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,3,3,4.56,1,0.0456,3.07e-05,0.1368,1.4e-06,3.07e-05,0.009670588,-58.07108,-43.0157
"215","Euphausia superba","Euphausiid","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,1,4,25,0.25,0.0625,1.02e-05,0.25,2.56e-06,4.09e-05,0.012894118,-58.07108,-43.0157
"216","Gennadus sp.","Dec","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,10,11,13,0.909090909,0.118181818,0.000102302,1.3,1.33e-05,0.000112532,0.035458824,-58.07108,-43.0157
"217","Amphipoda sp.","Amphipod","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,0.5,1,23.86,0.5,0.1193,5.12e-06,0.1193,1.22e-06,1.02e-05,0.003223529,-58.07108,-43.0157
"218","Salpa thompsoni","Jelly","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,662,249,4.71,2.658634538,0.125221687,0.006772379,31.1802,0.000318979,0.002547315,0.802658824,-58.07108,-43.0157
"219","Neognathophausia gigas","Dec","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,3,5,25,0.6,0.15,3.07e-05,0.75,7.67e-06,5.12e-05,0.016117647,-58.07108,-43.0157
"220","Clio pyramidata","Pteropod","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,0.5,1,33,0.5,0.165,5.12e-06,0.165,1.69e-06,1.02e-05,0.003223529,-58.07108,-43.0157
"221","Cyclothone sp.","Fish","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,1,2,33.05,0.5,0.16525,1.02e-05,0.3305,3.38e-06,2.05e-05,0.006447059,-58.07108,-43.0157
"222","Gigantocypris muelleri","Ostracod","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,3,4,24,0.75,0.18,3.07e-05,0.72,7.37e-06,4.09e-05,0.012894118,-58.07108,-43.0157
"223","Gymnoscopelus braueri","Fish","JR200",82,"23/03/2009",1,"N","05:07","05:52",1003.2,688.1,315.1,3.91,97750,NA,2,2,34,1,0.34,2.05e-05,0.68,6.96e-06,2.05e-05,0.006447059,-58.07108,-43.0157
