"","Taxa","Group","Cruise","Event","Date","Net.number","D.N","Open.time","Close.Time","Open.depth","Close.depth","depth.covered","distance.travelled..km.","volume.filtered.in.m3..assuming.mouth.of.25m2.","X","mass..g.","N","Dry.mass....wet.mass.","mean.Individual.wet.mass..g.","mean.individual.dry.mass..g.","total.wet.mass..g.m.3.","total.dry.mass..g.","total.dry.mass..g.m.3.","total.density..ind.m.3.","total.density..ind.m.2.","Lat","Lon"
"1","Diphyes sp. 2","Jelly","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,0.5,5,4.56,0.1,0.00456,6.1e-06,0.0228,2.78e-07,6.1e-05,0.011768293,-60.5012,-48.2316
"2","Diphyes sp. 1","Jelly","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,18,29,4.56,0.620689655,0.028303448,0.000219512,0.8208,1e-05,0.000353659,0.068256098,-60.5012,-48.2316
"3","Cyllopus sp. 1","Amphipod","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,0.5,3,23.86,0.166666667,0.039766667,6.1e-06,0.1193,1.45e-06,3.66e-05,0.007060976,-60.5012,-48.2316
"4","Notolepis sp.","Fish","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,0.5,2,19.2,0.25,0.048,6.1e-06,0.096,1.17e-06,2.44e-05,0.004707317,-60.5012,-48.2316
"5","Calycopsis borgrevichi","Jelly","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,24,16,4.66,1.5,0.0699,0.000292683,1.1184,1.36e-05,0.000195122,0.037658537,-60.5012,-48.2316
"6","Atolla wyvillei","Jelly","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,281,8,4.92,35.125,1.72815,0.003426829,13.8252,0.0001686,9.76e-05,0.018829268,-60.5012,-48.2316
"7","Periphylla periphylla","Jelly","JR177",74,"05/01/2008",1,"N","20:12","20:52",400,207,193,3.28,82000,NA,8452,3,4.5,2817.333333,126.78,0.103073171,380.34,0.004638293,3.66e-05,0.007060976,-60.5012,-48.2316
"8","Clio sp.","Pteropod","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,0.5,13,33,0.038461538,0.012692308,6.83e-06,0.165,2.25e-06,0.000177474,0.033720137,-60.5012,-48.2316
"9","Diphyes sp. 2","Jelly","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,6,19,4.56,0.315789474,0.0144,8.19e-05,0.2736,3.74e-06,0.000259386,0.049283276,-60.5012,-48.2316
"10","Thysanoessa sp.","Euphausiid","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,1,14,25,0.071428571,0.017857143,1.37e-05,0.25,3.41e-06,0.000191126,0.036313993,-60.5012,-48.2316
"11","Calycopsis borgrevichi","Jelly","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,0.5,1,4.66,0.5,0.0233,6.83e-06,0.0233,3.18e-07,1.37e-05,0.002593857,-60.5012,-48.2316
"12","Decapod larvae Type 1","Deca","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,1,5,13,0.2,0.026,1.37e-05,0.13,1.77e-06,6.83e-05,0.012969283,-60.5012,-48.2316
"13","Diphyes sp. 1","Jelly","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,29,42,4.56,0.69047619,0.031485714,0.000395904,1.3224,1.81e-05,0.000573379,0.10894198,-60.5012,-48.2316
"14","Sagitta sp.","Chaet","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,0.5,1,13,0.5,0.065,6.83e-06,0.065,8.87e-07,1.37e-05,0.002593857,-60.5012,-48.2316
"15","Vanadis sp.","worm","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,0.5,1,15.49,0.5,0.07745,6.83e-06,0.07745,1.06e-06,1.37e-05,0.002593857,-60.5012,-48.2316
"16","Tomopteris sp.","worm","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,5,7,15.49,0.714285714,0.110642857,6.83e-05,0.7745,1.06e-05,9.56e-05,0.018156997,-60.5012,-48.2316
"17","Hyperia macrocephala","Amphipod","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,0.5,1,23.86,0.5,0.1193,6.83e-06,0.1193,1.63e-06,1.37e-05,0.002593857,-60.5012,-48.2316
"18","Euphausia superba","Euphausiid","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,3,6,25,0.5,0.125,4.1e-05,0.75,1.02e-05,8.19e-05,0.01556314,-60.5012,-48.2316
"19","Salpa thompsoni","Jelly","JR177",74,"05/01/2008",2,"N","20:53","21:22",203,13,190,2.93,73250,NA,36,5,4.71,7.2,0.33912,0.000491468,1.6956,2.31e-05,6.83e-05,0.012969283,-60.5012,-48.2316
"20","Diphyes sp. 2","Jelly","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,1,2,4.56,0.5,0.0228,1.08e-05,0.0456,4.94e-07,2.17e-05,0.00642168,-60.5034,-48.2004
"21","Diphyes sp. 1","Jelly","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,3,4,4.56,0.75,0.0342,3.25e-05,0.1368,1.48e-06,4.34e-05,0.01284336,-60.5034,-48.2004
"22","Sagitta sp.","Chaet","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,27,65,13,0.415384615,0.054,0.000292683,3.51,3.8e-05,0.000704607,0.208704607,-60.5034,-48.2004
"23","Lanceola sayana","Amphipod","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,0.5,2,23.86,0.25,0.05965,5.42e-06,0.1193,1.29e-06,2.17e-05,0.00642168,-60.5034,-48.2004
"24","Primno macropa","Amphipod","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,3,12,23.86,0.25,0.05965,3.25e-05,0.7158,7.76e-06,0.000130081,0.038530081,-60.5034,-48.2004
"25","Euphausia superba","Euphausiid","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,0.5,2,25,0.25,0.0625,5.42e-06,0.125,1.36e-06,2.17e-05,0.00642168,-60.5034,-48.2004
"26","Notolepis sp.","Fish","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,0.5,1,19.2,0.5,0.096,5.42e-06,0.096,1.04e-06,1.08e-05,0.00321084,-60.5034,-48.2004
"27","Calycopsis borgrevichi","Jelly","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,10,4,4.66,2.5,0.1165,0.000108401,0.466,5.05e-06,4.34e-05,0.01284336,-60.5034,-48.2004
"28","Clio sp.","Pteropod","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,2,2,33,1,0.33,2.17e-05,0.66,7.15e-06,2.17e-05,0.00642168,-60.5034,-48.2004
"29","Atolla wyvillei","Jelly","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,186,5,4.92,37.2,1.83024,0.00201626,9.1512,9.92e-05,5.42e-05,0.016054201,-60.5034,-48.2004
"30","Electrona antarctica","Fish","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,895,128,30.9,6.9921875,2.160585938,0.009701897,276.555,0.002997886,0.001387534,0.410987534,-60.5034,-48.2004
"31","Paraphyllina ransoni","Jelly","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,155,2,4.5,77.5,3.4875,0.001680217,6.975,7.56e-05,2.17e-05,0.00642168,-60.5034,-48.2004
"32","Gymnoscopelus braueri","Fish","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,21,2,34,10.5,3.57,0.000227642,7.14,7.74e-05,2.17e-05,0.00642168,-60.5034,-48.2004
"33","Gymnoscopelus nicholsi","Fish","JR177",75,"05/01/2008",1,"N","23:27","00:14 (6th)",700.1,403.9,296.2,3.69,92250,NA,31,1,40.4,31,12.524,0.000336043,12.524,0.000135762,1.08e-05,0.00321084,-60.5034,-48.2004
"34","Bathylagus antarcticus","Fish","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,293,37,13.53333333,7.918918919,1.071693694,0.007512821,39.65266667,0.001016735,0.000948718,0.147051282,-60.5438,-48.1956
"35","Cyclothone sp.","Fish","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,20,17,33.05,1.176470588,0.388823529,0.000512821,6.61,0.000169487,0.000435897,0.067564103,-60.5438,-48.1956
"36","Cyphocaris richardi","Amphipod","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,0.5,2,23.86,0.25,0.05965,1.28e-05,0.1193,3.06e-06,5.13e-05,0.007948718,-60.5438,-48.1956
"37","Euphausia superba","Euphausiid","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,32,87,25,0.367816092,0.091954023,0.000820513,8,0.000205128,0.002230769,0.345769231,-60.5438,-48.1956
"38","Eurythenes obesus","Amphipod","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,0.5,1,23.86,0.5,0.1193,1.28e-05,0.1193,3.06e-06,2.56e-05,0.003974359,-60.5438,-48.1956
"39","Galiteuthis glacialis","Squid","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,3,2,14.79,1.5,0.22185,7.69e-05,0.4437,1.14e-05,5.13e-05,0.007948718,-60.5438,-48.1956
"40","Gennadus sp.","Dec","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,4,3,13,1.333333333,0.173333333,0.000102564,0.52,1.33e-05,7.69e-05,0.011923077,-60.5438,-48.1956
"41","Gnathophausia sp.","Dec","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,6,1,25,6,1.5,0.000153846,1.5,3.85e-05,2.56e-05,0.003974359,-60.5438,-48.1956
"42","Gymnoscopelus opisthopterus","Fish","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,111,8,19.9,13.875,2.761125,0.002846154,22.089,0.000566385,0.000205128,0.031794872,-60.5438,-48.1956
"43","Hydromedusae (clear)","Jelly","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,18,4,4.5,4.5,0.2025,0.000461538,0.81,2.08e-05,0.000102564,0.015897436,-60.5438,-48.1956
"44","Hyydromedusae (large)","Jelly","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,669,1,4.5,669,30.105,0.017153846,30.105,0.000771923,2.56e-05,0.003974359,-60.5438,-48.1956
"45","Notolepis sp.","Fish","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,1,3,19.2,0.333333333,0.064,2.56e-05,0.192,4.92e-06,7.69e-05,0.011923077,-60.5438,-48.1956
"46","Paraphyllina ransoni","Jelly","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,341,1,4.5,341,15.345,0.00874359,15.345,0.000393462,2.56e-05,0.003974359,-60.5438,-48.1956
"47","Pasiphaea sp.","Deca","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,10,2,13,5,0.65,0.00025641,1.3,3.33e-05,5.13e-05,0.007948718,-60.5438,-48.1956
"48","Sagitta sp.","Chaet","JR177",78,"06/01/2008",1,"","","",1000,845,155,1.56,39000,NA,4,5,13,0.8,0.104,0.000102564,0.52,1.33e-05,0.000128205,0.019871795,-60.5438,-48.1956
"49","Atolla wyvillei","Jelly","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,1,1,4.92,1,0.0492,2.22e-05,0.0492,1.09e-06,2.22e-05,0.003333333,-60.5438,-48.1956
"50","Atollidae","Jelly","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,151,1,4.92,151,7.4292,0.003355556,7.4292,0.000165093,2.22e-05,0.003333333,-60.5438,-48.1956
"51","Bathylagus antarcticus","Fish","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,49,10,13.53333333,4.9,0.663133333,0.001088889,6.631333333,0.000147363,0.000222222,0.033333333,-60.5438,-48.1956
"52","Cyclothone sp.","Fish","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,4,5,33.05,0.8,0.2644,8.89e-05,1.322,2.94e-05,0.000111111,0.016666667,-60.5438,-48.1956
"53","Cyphocaris richardi","Amphipod","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,0.5,2,23.86,0.25,0.05965,1.11e-05,0.1193,2.65e-06,4.44e-05,0.006666667,-60.5438,-48.1956
"54","Electrona antarctica","Fish","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,187,25,30.9,7.48,2.31132,0.004155556,57.783,0.001284067,0.000555556,0.083333333,-60.5438,-48.1956
"55","Euphausia superba","Euphausiid","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,19,45,25,0.422222222,0.105555556,0.000422222,4.75,0.000105556,0.001,0.15,-60.5438,-48.1956
"56","Euphausidae","Euphausiid","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,0.5,1,25,0.5,0.125,1.11e-05,0.125,2.78e-06,2.22e-05,0.003333333,-60.5438,-48.1956
"57","Eurythenes obesus","Amphipod","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,0.5,2,23.86,0.25,0.05965,1.11e-05,0.1193,2.65e-06,4.44e-05,0.006666667,-60.5438,-48.1956
"58","Gigantocypris sp.","Ostracod","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,0.5,1,24,0.5,0.12,1.11e-05,0.12,2.67e-06,2.22e-05,0.003333333,-60.5438,-48.1956
"59","Hydromedusae (clear)","Jelly","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,14,4,4.5,3.5,0.1575,0.000311111,0.63,1.4e-05,8.89e-05,0.013333333,-60.5438,-48.1956
"60","Notolepis sp.","Fish","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,2,1,19.2,2,0.384,4.44e-05,0.384,8.53e-06,2.22e-05,0.003333333,-60.5438,-48.1956
"61","Pasiphaea sp.","Deca","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,10,4,13,2.5,0.325,0.000222222,1.3,2.89e-05,8.89e-05,0.013333333,-60.5438,-48.1956
"62","Periphylla periphylla","Jelly","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,204,1,4.5,204,9.18,0.004533333,9.18,0.000204,2.22e-05,0.003333333,-60.5438,-48.1956
"63","Sagitta sp.","Chaet","JR177",78,"06/01/2008",2,"","","",850,700,150,1.8,45000,NA,3,9,13,0.333333333,0.043333333,6.67e-05,0.39,8.67e-06,2e-04,0.03,-60.5438,-48.1956
"64","Diphyes sp. 2","Jelly","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,2,9,4.56,0.222222222,0.010133333,0.000105263,0.0912,4.8e-06,0.000473684,0.094736842,-60.2235,-44.4244
"65","Decapod larvae Type 1","Deca","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,0.5,3,13,0.166666667,0.021666667,2.63e-05,0.065,3.42e-06,0.000157895,0.031578947,-60.2235,-44.4244
"66","Diphyes sp. 1","Jelly","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,14,27,4.56,0.518518519,0.023644444,0.000736842,0.6384,3.36e-05,0.001421053,0.284210526,-60.2235,-44.4244
"67","Salpa thompsoni","Jelly","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,101,110,4.71,0.918181818,0.043246364,0.005315789,4.7571,0.000250374,0.005789474,1.157894737,-60.2235,-44.4244
"68","Calycopsis borgrevichi","Jelly","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,1,1,4.66,1,0.0466,5.26e-05,0.0466,2.45e-06,5.26e-05,0.010526316,-60.2235,-44.4244
"69","Hyperia macrocephala","Amphipod","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,0.5,1,23.86,0.5,0.1193,2.63e-05,0.1193,6.28e-06,5.26e-05,0.010526316,-60.2235,-44.4244
"70","Primno macropa","Amphipod","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,0.5,1,23.86,0.5,0.1193,2.63e-05,0.1193,6.28e-06,5.26e-05,0.010526316,-60.2235,-44.4244
"71","Euphausia superba","Euphausiid","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,18367,36000,25,0.510194444,0.127548611,0.966684211,4591.75,0.241671053,1.894736842,378.9473684,-60.2235,-44.4244
"72","Electrona antarctica","Fish","JR177",102,"09/01/2008",2,"N","02:47","03:30",202,2,200,0.76,19000,NA,21,3,30.9,7,2.163,0.001105263,6.489,0.000341526,0.000157895,0.031578947,-60.2235,-44.4244
"73","Galiteuthis glacialis","Squid","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,2,29,14.79,0.068965517,0.0102,2.08e-05,0.2958,3.08e-06,0.000302083,0.090594792,-60.2018,-44.3696
"74","Diphyes sp. 1","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,1,3,4.56,0.333333333,0.0152,1.04e-05,0.0456,4.75e-07,3.125e-05,0.009371875,-60.2018,-44.3696
"75","Diphyes sp. 2","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,1,2,4.56,0.5,0.0228,1.04e-05,0.0456,4.75e-07,2.08e-05,0.006247917,-60.2018,-44.3696
"76","Cyphocaris richardi","Amphipod","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,1,4,23.86,0.25,0.05965,1.04e-05,0.2386,2.49e-06,4.17e-05,0.012495833,-60.2018,-44.3696
"77","Euphausia superba","Euphausiid","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,0.5,2,25,0.25,0.0625,5.21e-06,0.125,1.3e-06,2.08e-05,0.006247917,-60.2018,-44.3696
"78","Decapod crustacea","Deca","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,0.5,1,13,0.5,0.065,5.21e-06,0.065,6.77e-07,1.04e-05,0.003123958,-60.2018,-44.3696
"79","Nipple medusae","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,3,2,4.5,1.5,0.0675,3.125e-05,0.135,1.41e-06,2.08e-05,0.006247917,-60.2018,-44.3696
"80","Sagitta sp.","Chaet","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,8,11,13,0.727272727,0.094545455,8.33e-05,1.04,1.08e-05,0.000114583,0.034363542,-60.2018,-44.3696
