"","Taxa","Group","Cruise","Event","Date","Net.number","D.N","Open.time","Close.Time","Open.depth","Close.depth","depth.covered","distance.travelled..km.","volume.filtered.in.m3..assuming.mouth.of.25m2.","X","mass..g.","N","Dry.mass....wet.mass.","mean.Individual.wet.mass..g.","mean.individual.dry.mass..g.","total.wet.mass..g.m.3.","total.dry.mass..g.","total.dry.mass..g.m.3.","total.density..ind.m.3.","total.density..ind.m.2.","Lat","Lon"
"81","Gennadus sp.","Dec","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,10,13,13,0.769230769,0.1,0.000104167,1.3,1.35e-05,0.000135417,0.040611458,-60.2018,-44.3696
"82","Hydromedusae (clear)","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,12,5,4.5,2.4,0.108,0.000125,0.54,5.625e-06,5.21e-05,0.015619792,-60.2018,-44.3696
"83","Eurythenes obesus","Amphipod","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,0.5,1,23.86,0.5,0.1193,5.21e-06,0.1193,1.24e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"84","Eusirus microps","Amphipod","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,0.5,1,23.86,0.5,0.1193,5.21e-06,0.1193,1.24e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"85","Parandania boecki","Amphipod","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,0.5,1,23.86,0.5,0.1193,5.21e-06,0.1193,1.24e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"86","Calycopsis borgrevichi","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,3,1,4.66,3,0.1398,3.125e-05,0.1398,1.46e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"87","Notolepis sp.","Fish","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,3,4,19.2,0.75,0.144,3.125e-05,0.576,6e-06,4.17e-05,0.012495833,-60.2018,-44.3696
"88","Gigantocypris sp.","Ostracod","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,1,1,24,1,0.24,1.04e-05,0.24,2.5e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"89","Gnathophausia sp.","Dec","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,1,1,25,1,0.25,1.04e-05,0.25,2.6e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"90","Cyclothone sp.","Fish","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,23,16,33.05,1.4375,0.47509375,0.000239583,7.6015,7.92e-05,0.000166667,0.049983333,-60.2018,-44.3696
"91","Cyphocaris faueri","Amphipod","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,2,1,23.86,2,0.4772,2.08e-05,0.4772,4.97e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"92","Allurotheuthis antarcticus","Squid","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,5,1,14.79,5,0.7395,5.21e-05,0.7395,7.7e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"93","Hydromedusae (brown)","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,20,1,4.5,20,0.9,0.000208333,0.9,9.375e-06,1.04e-05,0.003123958,-60.2018,-44.3696
"94","Atolla wyvillei","Jelly","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,354,12,4.92,29.5,1.4514,0.0036875,17.4168,0.000181425,0.000125,0.0374875,-60.2018,-44.3696
"95","Bathylagus antarcticus","Fish","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,1019,82,13.53333333,12.42682927,1.681764228,0.010614583,137.9046667,0.001436507,0.000854167,0.256164583,-60.2018,-44.3696
"96","Electrona antarctica","Fish","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,98,14,30.9,7,2.163,0.001020833,30.282,0.000315438,0.000145833,0.043735417,-60.2018,-44.3696
"97","Gymnoscopelus opisthopterus","Fish","JR177",123,"13/01/2008",1,"N","23:25","00:16(13th)",997.9,698,299.9,3.84,96000,NA,95,3,19.9,31.66666667,6.301666667,0.000989583,18.905,0.000196927,3.125e-05,0.009371875,-60.2018,-44.3696
"98","Paraphyllina ransoni","Jelly","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,1,2,4.5,0.5,0.0225,9.11e-06,0.045,4.1e-07,1.82e-05,0.005640091,-60.2018,-44.3696
"99","Salpa thompsoni (colonial)","Jelly","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,30,41,4.71,0.731707317,0.034463415,0.000273349,1.413,1.29e-05,0.000373576,0.115621868,-60.2018,-44.3696
"100","Decapod crustacea","Deca","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,13,0.5,0.065,4.56e-06,0.065,5.92e-07,9.11e-06,0.002820046,-60.2018,-44.3696
"101","Sagitta sp.","Chaet","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,4,6,13,0.666666667,0.086666667,3.64e-05,0.52,4.74e-06,5.47e-05,0.016920273,-60.2018,-44.3696
"102","Calycopsis borgrevichi","Jelly","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,95,44,4.66,2.159090909,0.100613636,0.000865604,4.427,4.03e-05,0.000400911,0.124082005,-60.2018,-44.3696
"103","Chuneola sp.","Amphipod","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,23.86,0.5,0.1193,4.56e-06,0.1193,1.09e-06,9.11e-06,0.002820046,-60.2018,-44.3696
"104","Cyphocaris richardi","Amphipod","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,23.86,0.5,0.1193,4.56e-06,0.1193,1.09e-06,9.11e-06,0.002820046,-60.2018,-44.3696
"105","Eurythenes obesus","Amphipod","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,23.86,0.5,0.1193,4.56e-06,0.1193,1.09e-06,9.11e-06,0.002820046,-60.2018,-44.3696
"106","Lanceola sp.","Amphipod","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,23.86,0.5,0.1193,4.56e-06,0.1193,1.09e-06,9.11e-06,0.002820046,-60.2018,-44.3696
"107","Parandania boecki","Amphipod","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,23.86,0.5,0.1193,4.56e-06,0.1193,1.09e-06,9.11e-06,0.002820046,-60.2018,-44.3696
"108","Primno macropa","Amphipod","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,23.86,0.5,0.1193,4.56e-06,0.1193,1.09e-06,9.11e-06,0.002820046,-60.2018,-44.3696
"109","Euphausia superba","Euphausiid","JR177",123,"13/01/2008",2,"N","00:17","01:05",709.6,400.1,309.5,4.39,109750,NA,0.5,1,25,0.5,0.125,4.56e-06,0.125,1.14e-06,9.11e-06,0.002820046,-60.2018,-44.3696
