"","Cruise","Event","Year","Fish_Species_Code","Prey","Prey_Count","Mean_Prey_Mass__g_","Fish_Mass_g_","Lat","Lon","SST","location_group","fish_mass_log10","log_10_fish_class_bin","Statistical.Fish.ID.mass","Statistical_Fish_ID_mass","n_prey_items","ID_Pred_new"
"1","JR161",214,2006,"ELC","Metridia spp",11,3.64e-05,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"2","JR161",136,2006,"GYN","Metridia spp",5,2e-04,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"3","JR161",214,2006,"ELC","Metridia spp",4,2.75e-05,5.07430922500654,-55.24562,-41.15184,1.6879360511899,6,0.705376929307077,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"4","JR161",214,2006,"ELC","Calanus simillimus",3,6.67e-05,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"5","JR161",201,2006,"ELC","Oncaea spp",160,7.5e-05,5.71191053653692,-55.2144,-41.56429,1.52443008497357,6,0.756781396633555,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"6","JR161",159,2006,"GYN","Metridia spp",6,5e-04,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"7","JR161",214,2006,"ELC","Oncaea spp",5,1e-04,6.64065467688996,-55.24562,-41.15184,1.6879360511899,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"9","JR161",214,2006,"ELC","Thysanoessa spp",2,9.5e-05,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"11","JR161",159,2006,"GYN","Metridia spp",6,0.000333,15.6730458722732,-57.27877,-42.7514,-0.866804996877909,5,1.19515340469939,1.175,"GYN_5_1.175g","GYN_5_1.175g",6,66
"12","JR161",214,2006,"ELC","Candacia spp",1,0.00011,5.07430922500654,-55.24562,-41.15184,1.6879360511899,6,0.705376929307077,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"14","JR161",136,2006,"GYN","Calanoides acutus",1,0.001,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"15","JR161",136,2006,"GYN","Calanoides acutus",2,0.001,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"16","JR161",214,2006,"GYN","Metridia spp",17,0.000588,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"18","JR161",159,2006,"GYN","Chaetognatha indet",1,0.001,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"19","JR161",159,2006,"GYN","Candacia spp",1,0.001,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"20","JR161",214,2006,"GYN","Ostracoda indet",2,0.001,35.7060752471845,-55.24562,-41.15184,1.6879360511899,6,1.55274211588404,1.575,"GYN_6_1.575g","GYN_6_1.575g",7,71
"21","JR161",214,2006,"GYN","Metridia spp",3,0.001,35.7060752471845,-55.24562,-41.15184,1.6879360511899,6,1.55274211588404,1.575,"GYN_6_1.575g","GYN_6_1.575g",7,71
"22","JR161",214,2006,"ELC","Calanus simillimus",1,2e-04,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"24","JR161",214,2006,"GYN","Rhincalanus gigas",5,6e-04,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"26","JR161",214,2006,"ELC","Metridia spp",2,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"27","JR161",214,2006,"ELC","Themisto gaudichaudii",1,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"28","JR161",214,2006,"ELC","Candacia spp",1,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"29","JR161",214,2006,"ELC","Calanus simillimus",5,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"32","JR161",214,2006,"ELC","Metridia spp",8,2e-04,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"33","JR161",283,2006,"KRA","Drepanopus spp",151,5.3e-05,1.61800363018171,-49.99484,-37.98122,3.3937009960413,8,0.208979491668167,0.225,"KRA_8_0.225g","KRA_8_0.225g",9,131
"34","JR161",142,2006,"GYR","Metridia spp",3,0.000333,9.97844933346828,-59.66625,-44.05962,-1.60779440626502,4,0.999063056493527,0.975,"GYR_4_0.975g","GYR_4_0.975g",6,91
"35","JR161",214,2006,"GYN","Pleuromamma robusta",20,0.00055,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"36","JR161",106,2006,"ELN","Themisto gaudichaudii",48,0.00025,7.06353763114307,-60.49864,-44.64882,-1.86986295059323,3,0.849022263217417,0.825,"ELN_3_0.825g","ELN_3_0.825g",6,32
"37","JR161",214,2006,"GYN","Pleuromamma robusta",4,0.00075,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"38","JR161",275,2006,"GYR","Ostracoda indet",2,5e-04,13.4575355302223,-50.10324,-38.12951,3.62510454207659,8,1.12896553510182,1.125,"GYR_8_1.125g","GYR_8_1.125g",7,107
"39","JR161",275,2006,"GYR","Ostracoda indet",2,5e-04,13.1116991168953,-50.10324,-38.12951,3.62510454207659,8,1.11765897462503,1.125,"GYR_8_1.125g","GYR_8_1.125g",7,107
"40","JR161",159,2006,"GYN","Metridia spp",29,0.000966,24.8689865219451,-57.27877,-42.7514,-0.866804996877909,5,1.39565808696293,1.375,"GYN_5_1.375g","GYN_5_1.375g",7,67
"41","JR161",275,2006,"GYF","Metridia spp",38,0.000289,7.2125869961992,-50.10324,-38.12951,3.62510454207659,8,0.858091064533479,0.875,"GYF_8_0.875g","GYF_8_0.875g",9,60
"42","JR161",159,2006,"GYN","Ostracoda indet",1,0.001,24.8689865219451,-57.27877,-42.7514,-0.866804996877909,5,1.39565808696293,1.375,"GYN_5_1.375g","GYN_5_1.375g",7,67
"46","JR161",159,2006,"GYN","Ostracoda indet",2,0.0015,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"47","JR161",214,2006,"GYN","Metridia spp",7,0.000714,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"48","JR161",214,2006,"GYN","Chaetognatha indet",1,0.001,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"49","JR161",56,2006,"ELC","Oncaea spp",8,0.000375,8.21090741284872,-57.76618,-50.54229,-0.839826634526253,1,0.914391155002079,0.925,"ELC_1_0.925g","ELC_1_0.925g",6,4
"50","JR161",214,2006,"GYN","Candacia spp",4,0.00075,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"51","JR161",201,2006,"ELC","Rhincalanus gigas",20,0.000232,4.87264722146372,-55.2144,-41.56429,1.52443008497357,6,0.687764969699028,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"52","JR161",214,2006,"GYN","Chaetognatha indet",1,0.001,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"53","JR161",214,2006,"GYN","Metridia spp",1,0.001,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"54","JR161",214,2006,"GYN","Paraeuchaeta spp",1,0.001,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"55","JR161",214,2006,"GYN","Oncaea spp",1,0.001,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"56","JR161",214,2006,"GYN","Calanus simillimus",1,0.001,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"57","JR161",201,2006,"ELC","Oncaea spp",3,0.000333,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"58","JR161",201,2006,"ELC","Oncaea spp",23,0.000348,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"59","JR161",136,2006,"GYN","Thysanoessa spp",1,0.002,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"60","JR161",136,2006,"GYN","Gadius spp",1,0.002,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"61","JR161",136,2006,"GYN","Pleuromamma robusta",1,0.002,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"62","JR161",275,2006,"PRM","Rhincalanus gigas",27,0.000111,2.10947217686284,-50.10324,-38.12951,3.62510454207659,8,0.324173801576338,0.325,"PRM_8_0.325g","PRM_8_0.325g",14,157
"63","JR161",201,2006,"ELC","Siphonophore",66,0.000409,7.66316122352831,-55.2144,-41.56429,1.52443008497357,6,0.884407962676893,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"67","JR161",214,2006,"ELC","Paraeuchaeta spp",1,4e-04,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"68","JR161",214,2006,"ELC","Themisto gaudichaudii",1,4e-04,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"69","JR161",214,2006,"ELC","Calanus propinquus",1,4e-04,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"70","JR161",201,2006,"ELC","Metridia spp",3,0.000333,5.93554011168211,-55.2144,-41.56429,1.52443008497357,6,0.773460244242665,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"72","JR161",201,2006,"ELC","Oncaea spp",8,0.000375,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"74","JR161",214,2006,"GYN","Oncaea spp",1,0.001,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"75","JR161",214,2006,"GYN","Themisto gaudichaudii",1,0.001,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"77","JR161",253,2006,"ELC","Euphausiid indet",26,0.000385,6.1648293805574,-53.03058,-40.51789,1.38421584516764,7,0.789921061449543,0.775,"ELC_7_0.775g","ELC_7_0.775g",12,16
"78","JR161",159,2006,"GYN","Rhincalanus gigas",2,0.001,15.6730458722732,-57.27877,-42.7514,-0.866804996877909,5,1.19515340469939,1.175,"GYN_5_1.175g","GYN_5_1.175g",6,66
"79","JR161",201,2006,"ELC","Metridia spp",7,0.000429,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"80","JR161",214,2006,"ELC","Clausocalanus spp",4,0.000298,4.48522661861233,-55.24562,-41.15184,1.6879360511899,6,0.651784390908862,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"81","JR161",201,2006,"ELC","Metridia spp",6,0.000355,5.28136225847233,-55.2144,-41.56429,1.52443008497357,6,0.722745957577448,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"82","JR161",275,2006,"GYN","Metridia spp",1,0.001,14.8255538478266,-50.10324,-38.12951,3.62510454207659,8,1.17101092655987,1.175,"GYN_8_1.175g","GYN_8_1.175g",11,73
"83","JR161",201,2006,"ELC","Metridia spp",6,5e-04,7.39851104143699,-55.2144,-41.56429,1.52443008497357,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"84","JR161",201,2006,"ELC","Calanoid copepod",6,5e-04,7.39851104143699,-55.2144,-41.56429,1.52443008497357,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"85","JR161",214,2006,"ELC","Euphausiid indet",2,5e-04,7.39851104143699,-55.24562,-41.15184,1.6879360511899,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"86","JR161",214,2006,"GYN","Paraeuchaeta spp",2,0.0015,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"89","JR161",136,2006,"GYR","Metridia spp",2,0.001,14.1676789302252,-59.5633,-44.26847,-1.54875940158963,4,1.15129870625574,1.175,"GYR_4_1.175g","GYR_4_1.175g",8,92
"90","JR161",142,2006,"GYR","Metridia spp",1,0.001,14.1676789302252,-59.66625,-44.05962,-1.60779440626502,4,1.15129870625574,1.175,"GYR_4_1.175g","GYR_4_1.175g",8,92
"92","JR161",214,2006,"ELC","Metridia spp",5,0.000508,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"93","JR161",201,2006,"ELC","Oncaea spp",1,0.00044,6.1648293805574,-55.2144,-41.56429,1.52443008497357,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"95","JR161",201,2006,"ELC","Metridia spp",4,5e-04,6.88732432596426,-55.2144,-41.56429,1.52443008497357,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"96","JR161",214,2006,"GYN","Candacia spp",2,0.0015,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"97","JR161",275,2006,"KRA","Calanoid copepod",105,5.71e-05,0.769777971357519,-50.10324,-38.12951,3.62510454207659,8,-0.113634521215914,-0.125,"KRA_8_-0.125g","KRA_8_-0.125g",15,126
"99","JR161",201,2006,"ELC","Metridia spp",2,5e-04,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"100","JR161",201,2006,"ELC","Calanoid copepod",2,5e-04,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"101","JR161",214,2006,"ELC","Heterorhabdus spp",1,5e-04,6.64065467688996,-55.24562,-41.15184,1.6879360511899,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"102","JR161",214,2006,"ELC","Metridia spp",1,5e-04,6.64065467688996,-55.24562,-41.15184,1.6879360511899,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"103","JR161",214,2006,"ELC","Metridia spp",7,0.00034,4.48522661861233,-55.24562,-41.15184,1.6879360511899,6,0.651784390908862,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"105","JR161",136,2006,"GYN","Calanoides acutus",1,0.003,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"106","JR161",214,2006,"GYN","Rhincalanus gigas",4,0.00175,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"107","JR161",275,2006,"GYN","Metridia spp",1,0.001,12.4739468571787,-50.10324,-38.12951,3.62510454207659,8,1.09600388949199,1.075,"GYN_8_1.075g","GYN_8_1.075g",10,72
"109","JR161",201,2006,"ELC","Oncaea spp",72,5e-04,6.1648293805574,-55.2144,-41.56429,1.52443008497357,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"111","JR161",214,2006,"GYN","Pleuromamma robusta",25,0.00136,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"112","JR161",214,2006,"ELC","Metridia spp",3,0.000483,5.71191053653692,-55.24562,-41.15184,1.6879360511899,6,0.756781396633555,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"113","JR161",253,2006,"GYR","Ostracoda indet",3,0.000667,7.87173153654415,-53.03058,-40.51789,1.38421584516764,7,0.89607027417003,0.875,"GYR_7_0.875g","GYR_7_0.875g",6,100
"115","JR161",214,2006,"ELC","Metridia spp",9,0.000487,5.71191053653692,-55.24562,-41.15184,1.6879360511899,6,0.756781396633555,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"118","JR161",214,2006,"ELC","Oncaea spp",3,0.000377,4.29933293633404,-55.24562,-41.15184,1.6879360511899,6,0.633401077779022,0.625,"ELC_6_0.625g","ELC_6_0.625g",6,10
"119","JR161",56,2006,"ELC","Metridia spp",20,0.00085,9.69096458629221,-57.76618,-50.54229,-0.839826634526253,1,0.986367006530135,0.975,"ELC_1_0.975g","ELC_1_0.975g",6,5
"120","JR161",214,2006,"ELC","Oncaea spp",3,0.000397,4.48522661861233,-55.24562,-41.15184,1.6879360511899,6,0.651784390908862,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"121","JR161",214,2006,"GYN","Pleuromamma robusta",2,0.002,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"122","JR161",214,2006,"GYN","Calanoides acutus",1,0.002,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"124","JR161",214,2006,"ELC","Metridia spp",5,6e-04,6.39984528434173,-55.24562,-41.15184,1.6879360511899,6,0.806169475082508,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"126","JR161",214,2006,"ELC","Metridia spp",4,0.00075,7.93393789577639,-55.24562,-41.15184,1.6879360511899,6,0.899488796638865,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"127","JR161",201,2006,"ELC","Oncaea spp",2,5e-04,5.28136225847233,-55.2144,-41.56429,1.52443008497357,6,0.722745957577448,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"129","JR161",201,2006,"ELC","Metridia spp",7,0.000714,7.39851104143699,-55.2144,-41.56429,1.52443008497357,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"130","JR161",159,2006,"GYR","Metridia spp",1,0.001,10.2660220640182,-57.27877,-42.7514,-0.866804996877909,5,1.01140219332344,1.025,"GYR_5_1.025g","GYR_5_1.025g",7,94
"133","JR161",56,2006,"ELC","Euphausiid indet",2,5e-04,5.07430922500654,-57.76618,-50.54229,-0.839826634526253,1,0.705376929307077,0.725,"ELC_1_0.725g","ELC_1_0.725g",17,1
"134","JR161",56,2006,"ELC","Rhincalanus gigas",2,5e-04,5.07430922500654,-57.76618,-50.54229,-0.839826634526253,1,0.705376929307077,0.725,"ELC_1_0.725g","ELC_1_0.725g",17,1
"135","JR161",214,2006,"ELC","Metridia spp",5,0.000636,6.39984528434173,-55.24562,-41.15184,1.6879360511899,6,0.806169475082508,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"136","JR161",201,2006,"ELC","Oncaea spp",76,0.000526,5.28136225847233,-55.2144,-41.56429,1.52443008497357,6,0.722745957577448,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"137","JR161",201,2006,"ELC","Metridia spp",14,0.000714,7.13992091443283,-55.2144,-41.56429,1.52443008497357,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"139","JR161",201,2006,"ELC","Eucalanus",4,0.000532,5.28136225847233,-55.2144,-41.56429,1.52443008497357,6,0.722745957577448,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"140","JR161",91,2006,"ELN","Metridia spp",1,0.001,9.89220701232485,-60.64292,-48.72767,-1.8521866299212,2,0.995293196181946,0.975,"ELN_2_0.975g","ELN_2_0.975g",6,29
"142","JR161",201,2006,"ELC","Metridia spp",8,0.000625,6.1648293805574,-55.2144,-41.56429,1.52443008497357,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"143","JR161",159,2006,"GYN","Pleuromamma robusta",9,0.00367,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"144","JR161",214,2006,"GYN","Pleuromamma robusta",9,0.00367,35.7060752471845,-55.24562,-41.15184,1.6879360511899,6,1.55274211588404,1.575,"GYN_6_1.575g","GYN_6_1.575g",7,71
"145","JR161",201,2006,"ELC","Calanoid copepod",4,0.00075,7.13992091443283,-55.2144,-41.56429,1.52443008497357,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"146","JR161",214,2006,"ELC","Rhincalanus gigas",5,6e-04,5.71191053653692,-55.24562,-41.15184,1.6879360511899,6,0.756781396633555,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"147","JR161",275,2006,"GYR","Ostracoda indet",1,0.001,9.41979578880344,-50.10324,-38.12951,3.62510454207659,8,0.974041487850507,0.975,"GYR_8_0.975g","GYR_8_0.975g",9,106
"148","JR161",201,2006,"ELC","Calanoides acutus",4,5e-04,4.6763088503302,-55.2144,-41.56429,1.52443008497357,6,0.669903186742288,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"149","JR161",73,2006,"ELN","Aetidius spp",1,0.001,9.20587430191939,-60.53885,-48.74578,-1.85645922124386,2,0.964065040690969,0.975,"ELN_2_0.975g","ELN_2_0.975g",6,29
"150","JR161",201,2006,"ELC","Metridia spp",6,0.000833,7.66316122352831,-55.2144,-41.56429,1.52443008497357,6,0.884407962676893,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"151","JR161",214,2006,"ELC","Metridia spp",8,7e-04,6.39984528434173,-55.24562,-41.15184,1.6879360511899,6,0.806169475082508,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"152","JR161",214,2006,"GYN","Rhincalanus gigas",9,0.00178,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"153","JR161",201,2006,"ELC","Metridia spp",4,0.00075,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"154","JR161",201,2006,"ELC","Rhincalanus gigas",38,0.000789,6.88732432596426,-55.2144,-41.56429,1.52443008497357,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"157","JR161",214,2006,"ELC","Calanus simillimus",3,0.000847,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"158","JR161",201,2006,"ELC","Metridia spp",2,0.00058,4.87264722146372,-55.2144,-41.56429,1.52443008497357,6,0.687764969699028,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"161","JR161",43,2006,"ELC","Pleuromamma robusta",4,0.00075,6.1648293805574,-57.53066,-50.50526,-0.642872381955385,1,0.789921061449543,0.775,"ELC_1_0.775g","ELC_1_0.775g",8,2
"162","JR161",56,2006,"ELC","Pteropoda indet",1,0.001,8.21090741284872,-57.76618,-50.54229,-0.839826634526253,1,0.914391155002079,0.925,"ELC_1_0.925g","ELC_1_0.925g",6,4
"163","JR161",56,2006,"ELC","Rhincalanus gigas",1,0.001,8.21090741284872,-57.76618,-50.54229,-0.839826634526253,1,0.914391155002079,0.925,"ELC_1_0.925g","ELC_1_0.925g",6,4
"164","JR161",56,2006,"ELC","Rhincalanus gigas",1,0.001,8.21090741284872,-57.76618,-50.54229,-0.839826634526253,1,0.914391155002079,0.925,"ELC_1_0.925g","ELC_1_0.925g",6,4
"166","JR161",253,2006,"GYR","Ostracoda indet",2,0.001,8.11674624863645,-53.03058,-40.51789,1.38421584516764,7,0.90938196896334,0.925,"GYR_7_0.925g","GYR_7_0.925g",6,101
"168","JR161",214,2006,"ELC","Metridia spp",1,0.00086,6.88732432596426,-55.24562,-41.15184,1.6879360511899,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"169","JR161",201,2006,"ELC","Metridia spp",1,0.001,7.93393789577639,-55.2144,-41.56429,1.52443008497357,6,0.899488796638865,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"171","JR161",159,2006,"ELN","Metridia spp",1,0.001,7.93361303957159,-57.27877,-42.7514,-0.866804996877909,5,0.899471014026066,0.875,"ELN_5_0.875g","ELN_5_0.875g",8,40
"172","JR161",275,2006,"GYR","Metridia spp",1,0.001,7.87173153654415,-50.10324,-38.12951,3.62510454207659,8,0.89607027417003,0.875,"GYR_8_0.875g","GYR_8_0.875g",7,105
"173","JR161",201,2006,"ELC","Oncaea spp",12,0.000917,7.13992091443283,-55.2144,-41.56429,1.52443008497357,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"175","JR161",283,2006,"GYF","Ostracoda indet",1,0.001,7.75054093081059,-49.99484,-37.98122,3.3937009960413,8,0.889332014127985,0.875,"GYF_8_0.875g","GYF_8_0.875g",9,60
"176","JR161",283,2006,"GYF","Metridia spp",2,0.001,7.75054093081059,-49.99484,-37.98122,3.3937009960413,8,0.889332014127985,0.875,"GYF_8_0.875g","GYF_8_0.875g",9,60
"177","JR161",201,2006,"ELC","Metridia spp",1,0.001,7.66316122352831,-55.2144,-41.56429,1.52443008497357,6,0.884407962676893,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"178","JR161",201,2006,"ELC","Calanoides acutus",1,0.001,7.66316122352831,-55.2144,-41.56429,1.52443008497357,6,0.884407962676893,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"179","JR161",157,2006,"ELN","Metridia spp",1,0.001,7.63577286727921,-57.4469,-42.62638,-0.918442314863205,5,0.882853001445779,0.875,"ELN_5_0.875g","ELN_5_0.875g",8,40
