"","Cruise","Event","Year","Fish_Species_Code","Prey","Prey_Count","Mean_Prey_Mass__g_","Fish_Mass_g_","Lat","Lon","SST","location_group","fish_mass_log10","log_10_fish_class_bin","Statistical.Fish.ID.mass","Statistical_Fish_ID_mass","n_prey_items","ID_Pred_new"
"821","JR161",201,2006,"ELC","Pteropoda indet",6,0.00417,6.88732432596426,-55.2144,-41.56429,1.52443008497357,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"829","JR161",253,2006,"GYR","Crustacea indet",1,0.004,6.50612516687769,-53.03058,-40.51789,1.38421584516764,7,0.813322414119737,0.825,"GYR_7_0.825g","GYR_7_0.825g",6,99
"831","JR161",214,2006,"ELC","Rhincalanus gigas",13,0.0044,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"832","JR161",214,2006,"ELC","Pleuromamma robusta",3,0.0038,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"833","JR161",214,2006,"ELC","Rhincalanus gigas",5,0.00425,6.88732432596426,-55.24562,-41.15184,1.6879360511899,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"834","JR161",214,2006,"ELC","Rhincalanus gigas",10,0.00425,6.88732432596426,-55.24562,-41.15184,1.6879360511899,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"835","JR161",214,2006,"ELC","Rhincalanus gigas",13,0.00458,7.39851104143699,-55.24562,-41.15184,1.6879360511899,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"836","JR161",275,2006,"GYR","Pleuromamma robusta",1,0.006,9.6963926412231,-50.10324,-38.12951,3.62510454207659,8,0.986610193297458,0.975,"GYR_8_0.975g","GYR_8_0.975g",9,106
"838","JR161",214,2006,"GYN","Thysanoessa spp",4,0.01,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"839","JR161",214,2006,"ELC","Calanoides acutus",2,0.00398,6.39984528434173,-55.24562,-41.15184,1.6879360511899,6,0.806169475082508,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"840","JR161",214,2006,"ELC","Rhincalanus gigas",40,0.00317,5.07430922500654,-55.24562,-41.15184,1.6879360511899,6,0.705376929307077,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"841","JR161",201,2006,"ELC","Paraeuchaeta spp",1,0.004,6.39984528434173,-55.2144,-41.56429,1.52443008497357,6,0.806169475082508,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"842","JR161",267,2006,"PRM","Metridia spp",4,0.00075,1.19809071693145,-52.8061,-40.00328,1.53429366722703,7,0.0784897031711104,0.075,"PRM_7_0.075g","PRM_7_0.075g",6,150
"843","JR161",214,2006,"ELC","Rhincalanus gigas",11,0.00386,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"844","JR161",214,2006,"ELC","Rhincalanus gigas",1,0.005,7.93393789577639,-55.24562,-41.15184,1.6879360511899,6,0.899488796638865,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"845","JR161",267,2006,"LAC","Calanoides acutus",1,0.001,1.58130262144211,-52.8061,-40.00328,1.53429366722703,7,0.199014990897245,0.175,"LAC_7_0.175g","LAC_7_0.175g",10,135
"846","JR161",273,2006,"LAC","Metridia spp",1,0.001,1.58130262144211,-49.96331,-37.96272,3.48906523436308,8,0.199014990897245,0.175,"LAC_8_0.175g","LAC_8_0.175g",9,136
"847","JR161",273,2006,"LAC","Ostracoda indet",1,0.001,1.58130262144211,-49.96331,-37.96272,3.48906523436308,8,0.199014990897245,0.175,"LAC_8_0.175g","LAC_8_0.175g",9,136
"848","JR161",214,2006,"ELC","Heterorhabdus spp",1,0.00392,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"849","JR161",214,2006,"ELC","Calanus simillimus",1,0.00392,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"850","JR161",214,2006,"ELC","Rhincalanus gigas",4,0.00392,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"851","JR161",214,2006,"ELC","Ostracoda indet",1,0.00392,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"852","JR161",201,2006,"ELC","Calanus simillimus",1,0.003,4.6763088503302,-55.2144,-41.56429,1.52443008497357,6,0.669903186742288,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"853","JR161",201,2006,"ELC","Amphipoda indet",2,0.003,4.6763088503302,-55.2144,-41.56429,1.52443008497357,6,0.669903186742288,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"854","JR161",214,2006,"ELC","Thysanoessa spp",1,0.004,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"855","JR161",253,2006,"ELC","Rhincalanus gigas",1,0.004,6.1648293805574,-53.03058,-40.51789,1.38421584516764,7,0.789921061449543,0.775,"ELC_7_0.775g","ELC_7_0.775g",12,16
"856","JR161",267,2006,"KRA","Ostracoda indet",1,0.002,3.06960866985248,-52.8061,-40.00328,1.53429366722703,7,0.487083012820366,0.475,"KRA_7_0.475g","KRA_7_0.475g",8,125
"858","JR161",201,2006,"ELC","Paraeuchaeta spp",1,0.005,7.66316122352831,-55.2144,-41.56429,1.52443008497357,6,0.884407962676893,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"859","JR161",136,2006,"ELN","Metridia spp",1,0.001,1.52985206648353,-59.5633,-44.26847,-1.54875940158963,4,0.184649437473772,0.175,"ELN_4_0.175g","ELN_4_0.175g",10,34
"860","JR161",136,2006,"ELN","Metridia spp",5,0.001,1.52985206648353,-59.5633,-44.26847,-1.54875940158963,4,0.184649437473772,0.175,"ELN_4_0.175g","ELN_4_0.175g",10,34
"861","JR161",136,2006,"ELN","Metridia spp",2,0.001,1.52985206648353,-59.5633,-44.26847,-1.54875940158963,4,0.184649437473772,0.175,"ELN_4_0.175g","ELN_4_0.175g",10,34
"862","JR161",136,2006,"ELN","Ostracoda indet",1,0.001,1.52985206648353,-59.5633,-44.26847,-1.54875940158963,4,0.184649437473772,0.175,"ELN_4_0.175g","ELN_4_0.175g",10,34
"863","JR161",275,2006,"GYR","Rhincalanus gigas",1,0.005,7.63178492008498,-50.10324,-38.12951,3.62510454207659,8,0.882626122527214,0.875,"GYR_8_0.875g","GYR_8_0.875g",7,105
"864","JR161",275,2006,"GYR","Paraeuchaeta spp",1,0.005,7.63178492008498,-50.10324,-38.12951,3.62510454207659,8,0.882626122527214,0.875,"GYR_8_0.875g","GYR_8_0.875g",7,105
"865","JR161",275,2006,"GYR","Candacia spp",1,0.005,7.63178492008498,-50.10324,-38.12951,3.62510454207659,8,0.882626122527214,0.875,"GYR_8_0.875g","GYR_8_0.875g",7,105
"867","JR161",56,2006,"PRM","Metridia spp",5,0.001,1.52275607407016,-57.76618,-50.54229,-0.839826634526253,1,0.182630340519473,0.175,"PRM_1_0.175g","PRM_1_0.175g",12,141
"868","JR161",275,2006,"PRM","Eucalanus",1,0.001,1.52275607407016,-50.10324,-38.12951,3.62510454207659,8,0.182630340519473,0.175,"PRM_8_0.175g","PRM_8_0.175g",12,155
"870","JR161",214,2006,"GYF","Calanus simillimus",1,0.002,3.01824199966491,-55.24562,-41.15184,1.6879360511899,6,0.47975405813858,0.475,"GYF_6_0.475g","GYF_6_0.475g",8,56
"871","JR161",214,2006,"GYF","Calanoides acutus",2,0.002,3.01824199966491,-55.24562,-41.15184,1.6879360511899,6,0.47975405813858,0.475,"GYF_6_0.475g","GYF_6_0.475g",8,56
"872","JR161",214,2006,"GYF","Rhincalanus gigas",14,0.002,3.01824199966491,-55.24562,-41.15184,1.6879360511899,6,0.47975405813858,0.475,"GYF_6_0.475g","GYF_6_0.475g",8,56
