"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"1",1,-4.38425713515787,0.352834451399586,-2.68081601910548,0.413348567005316,-2.38672180180732,0.399768100136056,-0.700800103299758,"ELC",0.725
"2",2,-4.38425713515787,0.352834451399586,-2.45310579172065,0.440165060375626,-2.2009814948202,0.315784420000477,-0.642872381955385,"ELC",0.775
"3",3,-4.38425713515787,0.352834451399586,-2.2954236517989,0.251379539175409,-2.185687984836,0.239330840315913,-0.692110945098102,"ELC",0.825
"4",4,-4.38425713515787,0.352834451399586,-3.06621603422784,0.517871741348515,-2.47614357355052,0.516801847917858,-0.839826634526253,"ELC",0.925
"5",5,-4.38425713515787,0.352834451399586,-2.90504481501676,0.320509760623036,-2.68238114385879,0.409068250417272,-0.839826634526253,"ELC",0.975
"6",6,-4.3913487616074,0.277192905889306,-2.6545091322084,0.606051009857796,-0.707332022687107,0.576689901829812,1.64640646353364,"ELC",0.775
"7",7,-4.3913487616074,0.277192905889306,-2.15298793406759,0.772022039943772,-0.833817230567044,0.326234094044234,1.64640646353364,"ELC",0.825
"8",8,-4.1932624216533,0.492397653566805,-2.52872222589857,0.354415861519346,-1.78052601634215,0.65200245107017,3.30549029633403,"ELC",0.775
"9",9,-3.96886783995246,0.5397961872479,-2.60050226276397,0.423649234621385,-1.07263385825021,0.791717437701514,5.30188911035657,"ELC",0.825
"10",10,-4.25678274689645,0.531239644592783,-2.50795513264903,0.325046193577894,-2.42189020394321,0.183023883663249,1.6879360511899,"ELC",0.625
"11",11,-4.25678274689645,0.531239644592783,-2.86720187062928,0.38863774931652,-2.66538143258326,0.369953519169497,1.57627344011533,"ELC",0.675
"12",12,-4.25678274689645,0.531239644592783,-2.75207998020054,0.345561938948314,-2.59918249205854,0.336423348729405,1.62253366470337,"ELC",0.725
"13",13,-4.25678274689645,0.531239644592783,-2.94684569169195,0.684622032168763,-2.31668996623502,0.726355077447289,1.6452823208726,"ELC",0.775
"14",14,-4.25678274689645,0.531239644592783,-2.68405229896276,0.370315738999484,-2.44345130520475,0.448918378584435,1.60249099787685,"ELC",0.825
"15",15,-4.25678274689645,0.531239644592783,-2.72765302805954,0.450160208136414,-2.4708078774678,0.425406436198842,1.6174593416139,"ELC",0.875
